S:32 E:1 B:32 
hits:453 misses:205 evictions173
hits:453 misses:206 evictions174
hits:453 misses:207 evictions175
hits:454 misses:207 evictions175
hits:454 misses:208 evictions176
hits:455 misses:208 evictions176
hits:455 misses:209 evictions177
hits:456 misses:209 evictions177
hits:456 misses:210 evictions178
hits:456 misses:211 evictions179
hits:456 misses:212 evictions180
hits:457 misses:212 evictions180
hits:457 misses:213 evictions181
hits:458 misses:213 evictions181
hits:459 misses:213 evictions181
hits:460 misses:213 evictions181
hits:461 misses:213 evictions181
hits:461 misses:214 evictions182
hits:461 misses:215 evictions183
hits:461 misses:216 evictions184
hits:462 misses:216 evictions184
hits:462 misses:217 evictions185
hits:463 misses:217 evictions185
hits:464 misses:217 evictions185
hits:464 misses:218 evictions186
hits:464 misses:219 evictions187
hits:465 misses:219 evictions187
hits:465 misses:220 evictions188
hits:466 misses:220 evictions188
hits:466 misses:221 evictions189
hits:467 misses:221 evictions189
hits:468 misses:221 evictions189
hits:468 misses:222 evictions190
hits:468 misses:223 evictions191
hits:469 misses:223 evictions191
hits:469 misses:224 evictions192
hits:470 misses:224 evictions192
hits:470 misses:225 evictions193
hits:471 misses:225 evictions193
hits:472 misses:225 evictions193
hits:473 misses:225 evictions193
hits:473 misses:226 evictions194
hits:474 misses:226 evictions194
hits:474 misses:227 evictions195
hits:475 misses:227 evictions195
hits:475 misses:228 evictions196
hits:476 misses:228 evictions196
hits:477 misses:228 evictions196
hits:477 misses:229 evictions197
hits:477 misses:230 evictions198
hits:478 misses:230 evictions198
hits:479 misses:230 evictions198
hits:480 misses:230 evictions198
hits:481 misses:230 evictions198
hits:482 misses:230 evictions198
hits:483 misses:230 evictions198
hits:484 misses:230 evictions198
hits:485 misses:230 evictions198
hits:486 misses:230 evictions198
hits:487 misses:230 evictions198
hits:488 misses:230 evictions198
hits:489 misses:230 evictions198
hits:490 misses:230 evictions198
hits:490 misses:231 evictions199
hits:490 misses:232 evictions200
hits:490 misses:233 evictions201
hits:491 misses:233 evictions201
hits:492 misses:233 evictions201
hits:492 misses:234 evictions202
hits:493 misses:234 evictions202
hits:494 misses:234 evictions202
hits:495 misses:234 evictions202
hits:495 misses:235 evictions203
hits:496 misses:235 evictions203
hits:496 misses:236 evictions204
hits:497 misses:236 evictions204
hits:498 misses:236 evictions204
hits:499 misses:236 evictions204
hits:500 misses:236 evictions204
hits:501 misses:236 evictions204
hits:502 misses:236 evictions204
hits:503 misses:236 evictions204
hits:504 misses:236 evictions204
hits:505 misses:236 evictions204
hits:506 misses:236 evictions204
hits:507 misses:236 evictions204
hits:508 misses:236 evictions204
hits:509 misses:236 evictions204
hits:510 misses:236 evictions204
hits:511 misses:236 evictions204
hits:512 misses:236 evictions204
hits:513 misses:236 evictions204
hits:514 misses:236 evictions204
hits:515 misses:236 evictions204
hits:516 misses:236 evictions204
hits:517 misses:236 evictions204
hits:518 misses:236 evictions204
hits:518 misses:237 evictions205
hits:519 misses:237 evictions205
hits:520 misses:237 evictions205
hits:521 misses:237 evictions205
hits:522 misses:237 evictions205
hits:523 misses:237 evictions205
hits:524 misses:237 evictions205
hits:524 misses:238 evictions206
hits:524 misses:239 evictions207
hits:525 misses:239 evictions207
hits:526 misses:239 evictions207
hits:527 misses:239 evictions207
hits:528 misses:239 evictions207
hits:529 misses:239 evictions207
hits:530 misses:239 evictions207
hits:531 misses:239 evictions207
hits:531 misses:240 evictions208
hits:532 misses:240 evictions208
hits:532 misses:241 evictions209
hits:533 misses:241 evictions209
hits:533 misses:242 evictions210
hits:534 misses:242 evictions210
hits:534 misses:243 evictions211
hits:534 misses:244 evictions212
hits:534 misses:245 evictions213
hits:534 misses:246 evictions214
hits:535 misses:246 evictions214
hits:535 misses:247 evictions215
hits:536 misses:247 evictions215
hits:536 misses:248 evictions216
hits:536 misses:249 evictions217
hits:537 misses:249 evictions217
hits:538 misses:249 evictions217
hits:538 misses:250 evictions218
hits:539 misses:250 evictions218
hits:539 misses:251 evictions219
hits:540 misses:251 evictions219
hits:540 misses:252 evictions220
hits:540 misses:253 evictions221
hits:540 misses:254 evictions222
